task_id,requirement_ids,acceptance_ids
T-001,PC-16,FA-19
T-002,PC-19,FA-01
T-010,PC-15;PC-19,FA-01;FA-14;FA-16
T-011,PC-02;PC-03;PC-05;PC-08;PC-15,FA-01;FA-03;FA-14
T-012,PC-04;PC-14,FA-04;FA-15
T-013,PC-15,FA-14
T-014,PC-15,FA-14
T-020,PC-01,FA-02
T-021,PC-01;PC-12,FA-02;FA-12
T-022,PC-02;PC-03,FA-03
T-023,PC-12,FA-12
T-024,PC-10;PC-11,FA-10;FA-11
T-025,PC-10,FA-10
T-026,PC-11;PC-17,FA-11;FA-18
T-031,PC-04;PC-05,FA-04;FA-05
T-032,PC-07;PC-14,FA-07;FA-15
T-034,PC-09,FA-09
T-040,PC-16,FA-19
T-041,PC-08,FA-08
T-042,PC-06;PC-07,FA-06
T-043,PC-05;PC-14,FA-05;FA-15
T-044,PC-13,FA-13
T-050,PC-03;PC-12,FA-03;FA-12
T-051,PC-03;PC-15,FA-03;FA-14
T-052,PC-12;PC-13;PC-17,FA-12;FA-13;FA-18
T-053,PC-02;PC-05;PC-09;PC-11,FA-20
T-060,PC-16;PC-20,FA-19;FA-21
T-061,PC-16,FA-19
T-062,PC-16,FA-19
T-063,PC-16,FA-19
T-064,PC-16,FA-19
T-070,PC-18,FA-17
T-071,PC-02;PC-18,FA-03;FA-17
T-072,PC-19,FA-01;FA-16
T-073,PC-14,FA-15
T-074,PC-19,FA-16
T-075,PC-17,FA-18
T-080,PC-19;PC-16,FA-01;FA-19
T-081,PC-20,FA-21
